"game_date","game_time_start","away_team","away_points","home_team","home_points","season","game_code","home_rpm","away_rpm"
"2013-10-29","7:00p","Orlando Magic",87,"Indiana Pacers",97,2014,"201310290IND",1.05039861111111,-1.67434861111111
"2013-10-29","10:30p","Los Angeles Clippers",103,"Los Angeles Lakers",116,2014,"201310290LAL",-1.30819583333333,2.62893194444444
"2013-10-29","8:00p","Chicago Bulls",95,"Miami Heat",107,2014,"201310290MIA",2.04553194444444,1.22223125
"2013-10-30","7:00p","Brooklyn Nets",94,"Cleveland Cavaliers",98,2014,"201310300CLE",-0.843105555555556,1.27278125
"2013-10-30","8:30p","Atlanta Hawks",109,"Dallas Mavericks",118,2014,"201310300DAL",0.807073611111111,0.320475694444444
"2013-10-30","7:30p","Washington Wizards",102,"Detroit Pistons",113,2014,"201310300DET",-0.814755555555556,0.484122916666667
"2013-10-30","10:30p","Los Angeles Lakers",94,"Golden State Warriors",125,2014,"201310300GSW",0.886454861111111,-1.53592569444444
"2013-10-30","8:00p","Charlotte Bobcats",83,"Houston Rockets",96,2014,"201310300HOU",1.32103819444444,-0.685661111111111
"2013-10-30","8:00p","Orlando Magic",115,"Minnesota Timberwolves",120,2014,"201310300MIN",1.3524786163522,-1.32637735849057
"2013-10-30","8:00p","Indiana Pacers",95,"New Orleans Pelicans",90,2014,"201310300NOP",-0.475388888888889,1.28274722222222
"2013-10-30","7:30p","Milwaukee Bucks",83,"New York Knicks",90,2014,"201310300NYK",1.28753055555556,-2.21017083333333
"2013-10-30","7:00p","Miami Heat",110,"Philadelphia 76ers",114,2014,"201310300PHI",-1.84899097222222,1.62733472222222
"2013-10-30","10:00p","Portland Trail Blazers",91,"Phoenix Suns",104,2014,"201310300PHO",0.947406944444445,1.16811736111111
"2013-10-30","10:00p","Denver Nuggets",88,"Sacramento Kings",90,2014,"201310300SAC",-0.0977902777777778,-0.677609722222222
"2013-10-30","8:30p","Memphis Grizzlies",94,"San Antonio Spurs",101,2014,"201310300SAS",2.77879513888889,0.838648611111111
"2013-10-30","7:00p","Boston Celtics",87,"Toronto Raptors",93,2014,"201310300TOR",0.450574305555556,-1.22363819444444
"2013-10-30","9:00p","Oklahoma City Thunder",101,"Utah Jazz",98,2014,"201310300UTA",-1.78750555555556,1.5046875
"2013-10-31","8:00p","New York Knicks",81,"Chicago Bulls",82,2014,"201310310CHI",1.68777569444444,0.751518055555556
"2013-10-31","10:30p","Golden State Warriors",115,"Los Angeles Clippers",126,2014,"201310310LAC",2.22878055555556,2.65380694444444
"2013-11-01","7:30p","Toronto Raptors",95,"Atlanta Hawks",102,2014,"201311010ATL",0.260520138888889,0.602313194444444
"2013-11-01","7:30p","Milwaukee Bucks",105,"Boston Celtics",98,2014,"201311010BOS",-1.10839027777778,-2.04418194444444
"2013-11-01","8:00p","Miami Heat",100,"Brooklyn Nets",101,2014,"201311010BRK",1.25622430555556,2.37753402777778
"2013-11-01","7:00p","Cleveland Cavaliers",84,"Charlotte Bobcats",90,2014,"201311010CHA",-1.21006458333333,-1.00436111111111
"2013-11-01","9:00p","Portland Trail Blazers",113,"Denver Nuggets",98,2014,"201311010DEN",-0.477345833333333,0.608271527777778
"2013-11-01","8:00p","Dallas Mavericks",105,"Houston Rockets",113,2014,"201311010HOU",0.780817361111111,0.514033333333333
"2013-11-01","10:30p","San Antonio Spurs",91,"Los Angeles Lakers",85,2014,"201311010LAL",-1.20377361111111,2.50614583333333
"2013-11-01","8:00p","Detroit Pistons",108,"Memphis Grizzlies",111,2014,"201311010MEM",1.1354251572327,-0.632267924528302
"2013-11-01","8:00p","Oklahoma City Thunder",81,"Minnesota Timberwolves",100,2014,"201311010MIN",0.468507638888889,0.961666666666667
"2013-11-01","7:00p","New Orleans Pelicans",90,"Orlando Magic",110,2014,"201311010ORL",-1.83530486111111,-0.570018055555556
"2013-11-01","10:00p","Utah Jazz",84,"Phoenix Suns",87,2014,"201311010PHO",0.194341666666667,-1.76532222222222
"2013-11-01","10:00p","Los Angeles Clippers",110,"Sacramento Kings",101,2014,"201311010SAC",-0.232309027777778,2.0195375
"2013-11-01","7:00p","Philadelphia 76ers",109,"Washington Wizards",102,2014,"201311010WAS",0.340175694444445,-1.86314375
"2013-11-02","8:30p","Memphis Grizzlies",99,"Dallas Mavericks",111,2014,"201311020DAL",0.923953472222222,1.15160277777778
"2013-11-02","10:30p","Sacramento Kings",87,"Golden State Warriors",98,2014,"201311020GSW",2.06461666666667,-0.674834027777778
"2013-11-02","7:00p","Cleveland Cavaliers",74,"Indiana Pacers",89,2014,"201311020IND",-0.05260625,-0.943345833333333
"2013-11-02","8:30p","Toronto Raptors",97,"Milwaukee Bucks",90,2014,"201311020MIL",-2.05347083333333,0.704313888888889
"2013-11-02","8:00p","Charlotte Bobcats",84,"New Orleans Pelicans",105,2014,"201311020NOP",-0.554927083333333,-1.26184791666667
"2013-11-02","7:30p","Chicago Bulls",104,"Philadelphia 76ers",107,2014,"201311020PHI",-1.93775763888889,1.58472916666667
"2013-11-02","10:00p","San Antonio Spurs",105,"Portland Trail Blazers",115,2014,"201311020POR",1.10435555555556,2.62947777777778
"2013-11-02","9:00p","Houston Rockets",104,"Utah Jazz",93,2014,"201311020UTA",-1.68193055555556,1.38061875
"2013-11-03","6:00p","Boston Celtics",77,"Detroit Pistons",87,2014,"201311030DET",-0.858816666666667,-0.969095138888889
"2013-11-03","9:30p","Atlanta Hawks",103,"Los Angeles Lakers",105,2014,"201311030LAL",-1.17038611111111,-0.47446875
